"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"02013","county",2023,NA,NA,NA,NA,"education_score",NA
"02016","county",2023,95.01,156.33,69.46,124.35,"education_score",117.34
"02020","county",2023,122.17,131.3,105.5,83.85,"education_score",130.91
"02050","county",2023,68.07,107.18,169.47,114.94,"education_score",74.54
"02060","county",2023,125.64,142.16,51.59,148.84,"education_score",131.97
"02063","county",2023,121.62,132.84,100.69,113.49,"education_score",127.08
"02066","county",2023,104.93,98.78,113.55,142.43,"education_score",99.37
"02068","county",2023,NA,NA,NA,NA,"education_score",NA
"02070","county",2023,88.45,148.24,148.01,131.38,"education_score",105.11
"02090","county",2023,125.02,127.09,106.29,95.61,"education_score",129.69
"02100","county",2023,134.29,122.87,105.18,123.98,"education_score",130.7
"02105","county",2023,112.11,70.84,62.05,156.77,"education_score",95.44
"02110","county",2023,126.62,124.48,93.88,102.66,"education_score",129.49
"02122","county",2023,116.88,104.7,90.61,100.29,"education_score",114.33
"02130","county",2023,121.14,139.75,94.07,105.66,"education_score",128.62
"02150","county",2023,118.8,94.31,111.1,104.01,"education_score",111.18
"02158","county",2023,62.98,66.46,201.52,112.9,"education_score",51.8
"02164","county",2023,106.15,70.01,134.63,329,"education_score",79.36
"02170","county",2023,115.02,129.74,112.99,94.6,"education_score",120.8
"02180","county",2023,95.95,121.58,173.28,124.43,"education_score",97.48
"02185","county",2023,96.44,153.52,119.87,115.92,"education_score",114.66
"02188","county",2023,83.55,116.81,182.8,117.71,"education_score",86.86
"02195","county",2023,106.99,136.53,84.95,107.27,"education_score",117.12
"02198","county",2023,108.78,97.73,102.85,172.09,"education_score",99.92
"02220","county",2023,128.24,113.87,98.76,100.26,"education_score",124.93
"02230","county",2023,118.7,162.69,57.74,122.49,"education_score",136.2
"02240","county",2023,107.52,135.9,96.71,124.85,"education_score",117.04
"02275","county",2023,107.55,78.13,85.85,108.63,"education_score",95
"02282","county",2023,118.31,125.32,54.6,154.62,"education_score",120.35
"02290","county",2023,95.4,71.33,125.25,200.27,"education_score",77.11
"02013","county",2023,NA,NA,NA,NA,"education_score",NA
"02016","county",2023,95.01,156.33,69.46,124.35,"education_score",117.34
"02020","county",2023,122.17,131.3,105.5,83.85,"education_score",130.91
"02050","county",2023,68.07,107.18,169.47,114.94,"education_score",74.54
"02060","county",2023,125.64,142.16,51.59,148.84,"education_score",131.97
"02063","county",2023,121.62,132.84,100.69,113.49,"education_score",127.08
"02066","county",2023,104.93,98.78,113.55,142.43,"education_score",99.37
"02068","county",2023,NA,NA,NA,NA,"education_score",NA
"02070","county",2023,88.45,148.24,148.01,131.38,"education_score",105.11
"02090","county",2023,125.02,127.09,106.29,95.61,"education_score",129.69
"02100","county",2023,134.29,122.87,105.18,123.98,"education_score",130.7
"02105","county",2023,112.11,70.84,62.05,156.77,"education_score",95.44
"02110","county",2023,126.62,124.48,93.88,102.66,"education_score",129.49
"02122","county",2023,116.88,104.7,90.61,100.29,"education_score",114.33
"02130","county",2023,121.14,139.75,94.07,105.66,"education_score",128.62
"02150","county",2023,118.8,94.31,111.1,104.01,"education_score",111.18
"02158","county",2023,62.98,66.46,201.52,112.9,"education_score",51.8
"02164","county",2023,106.15,70.01,134.63,329,"education_score",79.36
"02170","county",2023,115.02,129.74,112.99,94.6,"education_score",120.8
"02180","county",2023,95.95,121.58,173.28,124.43,"education_score",97.48
"02185","county",2023,96.44,153.52,119.87,115.92,"education_score",114.66
"02188","county",2023,83.55,116.81,182.8,117.71,"education_score",86.86
"02195","county",2023,106.99,136.53,84.95,107.27,"education_score",117.12
"02198","county",2023,108.78,97.73,102.85,172.09,"education_score",99.92
"02220","county",2023,128.24,113.87,98.76,100.26,"education_score",124.93
"02230","county",2023,118.7,162.69,57.74,122.49,"education_score",136.2
"02240","county",2023,107.52,135.9,96.71,124.85,"education_score",117.04
"02275","county",2023,107.55,78.13,85.85,108.63,"education_score",95
"02282","county",2023,118.31,125.32,54.6,154.62,"education_score",120.35
"02290","county",2023,95.4,71.33,125.25,200.27,"education_score",77.11
"02013","county",2023,NA,NA,NA,NA,"education_score",NA
"02016","county",2023,95.01,156.33,69.46,124.35,"education_score",117.34
"02020","county",2023,122.17,131.3,105.5,83.85,"education_score",130.91
"02050","county",2023,68.07,107.18,169.47,114.94,"education_score",74.54
"02060","county",2023,125.64,142.16,51.59,148.84,"education_score",131.97
"02063","county",2023,121.62,132.84,100.69,113.49,"education_score",127.08
"02066","county",2023,104.93,98.78,113.55,142.43,"education_score",99.37
"02068","county",2023,NA,NA,NA,NA,"education_score",NA
"02070","county",2023,88.45,148.24,148.01,131.38,"education_score",105.11
"02090","county",2023,125.02,127.09,106.29,95.61,"education_score",129.69
"02100","county",2023,134.29,122.87,105.18,123.98,"education_score",130.7
"02105","county",2023,112.11,70.84,62.05,156.77,"education_score",95.44
"02110","county",2023,126.62,124.48,93.88,102.66,"education_score",129.49
"02122","county",2023,116.88,104.7,90.61,100.29,"education_score",114.33
"02130","county",2023,121.14,139.75,94.07,105.66,"education_score",128.62
"02150","county",2023,118.8,94.31,111.1,104.01,"education_score",111.18
"02158","county",2023,62.98,66.46,201.52,112.9,"education_score",51.8
"02164","county",2023,106.15,70.01,134.63,329,"education_score",79.36
"02170","county",2023,115.02,129.74,112.99,94.6,"education_score",120.8
"02180","county",2023,95.95,121.58,173.28,124.43,"education_score",97.48
"02185","county",2023,96.44,153.52,119.87,115.92,"education_score",114.66
"02188","county",2023,83.55,116.81,182.8,117.71,"education_score",86.86
"02195","county",2023,106.99,136.53,84.95,107.27,"education_score",117.12
"02198","county",2023,108.78,97.73,102.85,172.09,"education_score",99.92
"02220","county",2023,128.24,113.87,98.76,100.26,"education_score",124.93
"02230","county",2023,118.7,162.69,57.74,122.49,"education_score",136.2
"02240","county",2023,107.52,135.9,96.71,124.85,"education_score",117.04
"02275","county",2023,107.55,78.13,85.85,108.63,"education_score",95
"02282","county",2023,118.31,125.32,54.6,154.62,"education_score",120.35
"02290","county",2023,95.4,71.33,125.25,200.27,"education_score",77.11
"02013","county",2023,NA,NA,NA,NA,"education_rnk",NA
"02016","county",2023,95.01,156.33,69.46,124.35,"education_rnk",82.4097
"02020","county",2023,122.17,131.3,105.5,83.85,"education_rnk",93.462
"02050","county",2023,68.07,107.18,169.47,114.94,"education_rnk",9.3088
"02060","county",2023,125.64,142.16,51.59,148.84,"education_rnk",93.9913
"02063","county",2023,121.62,132.84,100.69,113.49,"education_rnk",91.2827
"02066","county",2023,104.93,98.78,113.55,142.43,"education_rnk",48.5056
"02068","county",2023,NA,NA,NA,NA,"education_rnk",NA
"02070","county",2023,88.45,148.24,148.01,131.38,"education_rnk",61.7061
"02090","county",2023,125.02,127.09,106.29,95.61,"education_rnk",92.9639
"02100","county",2023,134.29,122.87,105.18,123.98,"education_rnk",93.3375
"02105","county",2023,112.11,70.84,62.05,156.77,"education_rnk",40.0996
"02110","county",2023,126.62,124.48,93.88,102.66,"education_rnk",92.8082
"02122","county",2023,116.88,104.7,90.61,100.29,"education_rnk",78.269
"02130","county",2023,121.14,139.75,94.07,105.66,"education_rnk",92.3412
"02150","county",2023,118.8,94.31,111.1,104.01,"education_rnk",73.132
"02158","county",2023,62.98,66.46,201.52,112.9,"education_rnk",1.1208
"02164","county",2023,106.15,70.01,134.63,329,"education_rnk",14.2902
"02170","county",2023,115.02,129.74,112.99,94.6,"education_rnk",85.741
"02180","county",2023,95.95,121.58,173.28,124.43,"education_rnk",44.4583
"02185","county",2023,96.44,153.52,119.87,115.92,"education_rnk",78.8294
"02188","county",2023,83.55,116.81,182.8,117.71,"education_rnk",24.6887
"02195","county",2023,106.99,136.53,84.95,107.27,"education_rnk",82.0672
"02198","county",2023,108.78,97.73,102.85,172.09,"education_rnk",49.6575
