"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"30093000700","tract",2019,84.77,112.3,88.49,88.42,"education_score",82.65
"30093000800","tract",2019,85.84,112.01,93.46,194.5,"education_score",86.54
"30095966400","tract",2019,99.45,81.68,116.23,174,"education_score",109.64
"30095966500","tract",2019,91.18,85.12,76.05,187.17,"education_score",91.85
"30095966600","tract",2019,95.13,74.51,92.81,215.97,"education_score",102.94
"30097967000","tract",2019,94.32,64.43,86.01,322.72,"education_score",105.21
"30099000100","tract",2019,93.53,74.6,103.03,141.41,"education_score",102.97
"30099000200","tract",2019,99.04,98.46,113.34,151.52,"education_score",102.3
"30099000300","tract",2019,95.6,58.8,76.45,259.41,"education_score",104.86
"30101000100","tract",2019,113.65,83.7,109.97,307.71,"education_score",115.83
"30101000200","tract",2019,106.33,80.94,76.68,232.57,"education_score",108.26
"30101980000","tract",2019,NA,NA,NA,NA,"education_score",NA
"30103963500","tract",2019,100.96,83.78,64.92,125.42,"education_score",97.83
"30105100100","tract",2019,97.62,64.27,82.36,333.86,"education_score",103.45
"30105100500","tract",2019,86.2,82.31,99.2,166.56,"education_score",96.15
"30105940600","tract",2019,95.89,75.57,90.38,147.01,"education_score",102.98
"30107000100","tract",2019,119.99,60.94,105.77,285.87,"education_score",128.86
"30109000100","tract",2019,98.93,83.03,93.93,277.27,"education_score",103.33
"30111000200","tract",2019,97.73,89.85,108.03,96.82,"education_score",102.86
"30111000300","tract",2019,105.42,61.66,97.96,107.17,"education_score",115.99
"30111000401","tract",2019,93.56,99,74.96,100.43,"education_score",90.11
"30111000402","tract",2019,81.85,93.84,66.57,115.69,"education_score",81
"30111000500","tract",2019,79.82,106.14,96.32,95.45,"education_score",81.97
"30111000600","tract",2019,79.56,84.78,127.31,95.37,"education_score",91.72
"30111000701","tract",2019,93.04,108.25,103.15,87.23,"education_score",93.16
"30111000702","tract",2019,88.32,97.37,108.91,117.87,"education_score",95.64
"30111000704","tract",2019,85.59,120.81,100.66,111.57,"education_score",84.03
"30111000705","tract",2019,85.86,87.08,116.07,102.07,"education_score",96.03
"30111000706","tract",2019,88.53,98.77,95.74,94.36,"education_score",92.03
"30111000800","tract",2019,95.79,87.22,107.23,116.65,"education_score",103.01
"30111000901","tract",2019,95.72,102.32,105.08,119.77,"education_score",97.7
"30111000902","tract",2019,107.52,72.34,102.01,134,"education_score",115.18
"30111001000","tract",2019,90.09,102.52,94.18,95.96,"education_score",91.96
"30111001100","tract",2019,88.98,100.13,92.73,98.57,"education_score",90.92
"30111001200","tract",2019,81.52,99.67,102.23,96.71,"education_score",85.76
"30111001300","tract",2019,88.09,85.86,95.83,97.1,"education_score",93.56
"30111001401","tract",2019,89.4,107.36,103.71,168.61,"education_score",93.07
"30111001402","tract",2019,83.36,122.57,110.12,222.6,"education_score",85.93
"30111001501","tract",2019,91.94,82.69,113.08,147,"education_score",103.24
"30111001502","tract",2019,90.22,86.56,102.45,167.82,"education_score",99.23
"30111001702","tract",2019,94.15,94.23,77.38,120.59,"education_score",93.3
"30111001703","tract",2019,83.11,94.53,92.34,94.31,"education_score",87.32
"30111001704","tract",2019,88.1,86.96,88.14,88.35,"education_score",92.15
"30111001801","tract",2019,76.82,102.23,103.7,94.22,"education_score",82.24
"30111001802","tract",2019,82.64,84.7,86.12,109.36,"education_score",88.52
"30111001803","tract",2019,91.65,101.59,91.35,103.46,"education_score",91.86
"30111001804","tract",2019,96.13,76.99,106.58,111.63,"education_score",105.74
"30111001901","tract",2019,91.44,93.8,87.5,100.4,"education_score",93.53
"30111001902","tract",2019,93.18,110.47,87.94,134.24,"education_score",91.33
"30111940000","tract",2019,91.34,118.97,106.92,175.2,"education_score",92.4
"30001000100","tract",2019,90.79,72.72,60.41,452.61,"education_score",91.26
"30001000200","tract",2019,85.59,82.71,88.31,169.61,"education_score",93.02
"30001000300","tract",2019,92.82,66.56,101.05,138.54,"education_score",102.74
"30003000100","tract",2019,97.13,84.72,128.33,157.34,"education_score",110.36
"30003940400","tract",2019,102.81,86.86,122.65,155.25,"education_score",110.39
"30003940500","tract",2019,101.37,59,106.3,248.27,"education_score",113.8
"30003940600","tract",2019,105.17,79.92,146.3,122.47,"education_score",119.71
"30003940700","tract",2019,99.85,61.89,130.72,169.37,"education_score",116.66
"30005000100","tract",2019,91.88,58.45,98.39,287.19,"education_score",105.06
"30005000200","tract",2019,94.51,87.77,98.34,323.1,"education_score",101.42
"30005940100","tract",2019,106.89,71,169.72,153.4,"education_score",128.17
"30005940200","tract",2019,100.87,74.8,129.52,130.81,"education_score",113.94
"30007000100","tract",2019,101.82,64.67,96.09,110.81,"education_score",109.87
"30007000200","tract",2019,100.48,91.35,79.34,159.92,"education_score",100.29
"30009000100","tract",2019,90.51,82.21,98.32,137.8,"education_score",97.05
"30009000200","tract",2019,93.37,83.25,88.35,131.88,"education_score",97.89
"30009000300","tract",2019,87.86,61.21,72.9,116.46,"education_score",96.36
"30009000400","tract",2019,100.65,76.5,81.27,172.87,"education_score",102.83
"30009000500","tract",2019,94.28,88.28,75.23,255.64,"education_score",94
"30011000300","tract",2019,91.16,69.32,76.56,334.22,"education_score",97.6
"30013000100","tract",2019,92.84,95.48,103.57,109.11,"education_score",96.63
"30013000200","tract",2019,86.01,86.46,77.07,98.33,"education_score",89.08
"30013000300","tract",2019,95.46,81.09,107.2,95.99,"education_score",103.75
"30013000400","tract",2019,89.95,83.03,84.23,89.52,"education_score",94.55
"30013000700","tract",2019,121.85,88.76,94.9,87.1,"education_score",118.98
"30013000800","tract",2019,94.24,73.64,87.17,135.29,"education_score",100.27
"30013000900","tract",2019,100.23,101.63,117.2,88.6,"education_score",102.97
"30013001000","tract",2019,91.73,93.38,93.55,97.48,"education_score",94.15
"30013001100","tract",2019,87.51,76.9,98.37,129.89,"education_score",96.81
"30013001200","tract",2019,81.76,76.43,120.64,112.92,"education_score",97.7
"30013001600","tract",2019,97.07,71.94,84.59,106.41,"education_score",103.54
"30013001700","tract",2019,104.69,61.45,92.7,127.54,"education_score",111.62
"30013001800","tract",2019,86.37,112.89,104.92,114.69,"education_score",87.52
"30013001900","tract",2019,89.92,87,103.46,112.71,"education_score",97.23
"30013002100","tract",2019,100.52,91.98,108.06,170.19,"education_score",105.3
"30013002200","tract",2019,93.77,74.91,81.71,95.26,"education_score",98.5
"30013002300","tract",2019,85.79,102.45,99.11,93.93,"education_score",88.69
"30013010100","tract",2019,103.52,94.37,91.13,134.05,"education_score",104.05
"30013010400","tract",2019,88.92,82.07,76.54,132.53,"education_score",92.64
"30013010600","tract",2019,101.05,88.81,102.05,249.26,"education_score",107.49
"30013010700","tract",2019,102.19,80.1,80.66,315.31,"education_score",106.65
"30013010800","tract",2019,96.82,84.42,77.96,97.98,"education_score",98.13
"30015010200","tract",2019,90.88,81.79,100.08,277.54,"education_score",100.3
"30015010300","tract",2019,99.03,69.62,102.57,325.95,"education_score",111.62
"30017961300","tract",2019,85.51,83.03,89.82,290.35,"education_score",93.48
"30017961500","tract",2019,105.46,91.61,103.78,109.25,"education_score",107.87
"30017961600","tract",2019,95,69.11,109.36,262.47,"education_score",106.56
"30017961800","tract",2019,88.17,63.25,102.23,112.4,"education_score",101.69
"30017961900","tract",2019,97.22,83.26,84.62,90.23,"education_score",98.87
"30017962000","tract",2019,92.63,80.16,81.39,116.57,"education_score",96.02
"30019020300","tract",2019,87.48,84.52,96.22,207.18,"education_score",94.91
"30021000100","tract",2019,88.63,78.12,91.1,359.53,"education_score",94.25
"30021000200","tract",2019,92.28,73.98,97.13,104.56,"education_score",100.88
"30021000300","tract",2019,96.24,72.8,80.59,116.99,"education_score",100.85
"30023000300","tract",2019,103.82,97.32,77.89,111.63,"education_score",99.81
"30023000400","tract",2019,84.91,90.23,84.8,90.8,"education_score",88.47
"30023000500","tract",2019,90.23,103.54,66.29,153.32,"education_score",84.77
"30025000100","tract",2019,97.41,81.05,99.27,190.42,"education_score",105.28
"30027030100","tract",2019,92.2,68.53,83.58,317.02,"education_score",103.77
"30027030200","tract",2019,94.52,84.2,100.93,118.88,"education_score",101.48
"30029000100","tract",2019,86.77,75.14,69.06,98.82,"education_score",90.17
"30029000201","tract",2019,84.34,79.91,74.52,95.73,"education_score",89.32
"30029000202","tract",2019,93.78,83.34,108.08,98.61,"education_score",102.38
"30029000203","tract",2019,92.17,91.32,95.07,117.35,"education_score",96.44
"30029000300","tract",2019,75.26,92.09,62.8,86.78,"education_score",76.24
"30029000401","tract",2019,80.94,95.99,86,114.55,"education_score",84.85
"30029000402","tract",2019,81.91,98.11,83.67,89.48,"education_score",83.87
"30029000601","tract",2019,83.86,84.74,103.08,104.35,"education_score",93.27
"30029000602","tract",2019,86.85,84.32,86.88,135.91,"education_score",93.44
"30029000700","tract",2019,106.68,82.56,99.71,98.44,"education_score",111.13
"30029000800","tract",2019,85.63,113.01,111.55,125.1,"education_score",88.38
"30029000900","tract",2019,88.3,75.15,98.25,130.84,"education_score",98.48
"30029001000","tract",2019,92.8,74.43,90.45,130.11,"education_score",100.3
"30029001100","tract",2019,93.3,82.46,78.71,107.9,"education_score",96.21
"30029001200","tract",2019,94.96,85.32,99.51,124.68,"education_score",101.76
"30029001301","tract",2019,89.1,84,79.51,110.58,"education_score",92.64
"30029001302","tract",2019,89.32,79.35,89.58,127.79,"education_score",96.51
"30029001400","tract",2019,88.67,94.64,75.44,137.12,"education_score",88.8
"30029001700","tract",2019,93.08,113.79,97.93,190.77,"education_score",93.98
"30031000101","tract",2019,86.27,102.33,104.32,127.4,"education_score",90.77
"30031000102","tract",2019,89.65,101.76,92.69,177.72,"education_score",91.09
"30031000103","tract",2019,92.04,85.17,98.77,111.05,"education_score",98.52
"30031000200","tract",2019,84,99.18,106.25,102.39,"education_score",90.38
"30031000300","tract",2019,88.41,94.32,83.17,155.22,"education_score",91.33
"30031000400","tract",2019,87.14,85.54,98.65,155.33,"education_score",95.17
"30031000501","tract",2019,76.88,98.43,94.76,216.2,"education_score",80.62
