"geoid","geolevel","year","attainment_score","education_quality_score","enrollment_score","education_access_score","level","value"
"40009","county",2019,104.59,89.74,114.78,101.2,"education_score",91.66
"40011","county",2019,110.77,74.62,83.76,110.23,"education_score",81.33
"40013","county",2019,101.03,87.16,114.44,99.62,"education_score",94.67
"40015","county",2019,108.49,84.51,116.48,100.69,"education_score",85.17
"40017","county",2019,86.77,112.26,125.34,92.76,"education_score",113.55
"40019","county",2019,100.03,94.95,119.19,98.57,"education_score",97.18
"40021","county",2019,96.59,81.81,117.52,100.73,"education_score",97.33
"40023","county",2019,114.16,83.82,106.41,102.23,"education_score",81.01
"40025","county",2019,120.4,94.93,109.77,116.39,"education_score",80.95
"40027","county",2019,79.33,108.27,119.35,87.85,"education_score",122.48
"40029","county",2019,111.56,75.54,106.64,106.14,"education_score",80.67
"40031","county",2019,90.57,92,111,93.9,"education_score",105.55
"40033","county",2019,105.17,83.67,112.08,111.03,"education_score",86.63
"40035","county",2019,104.43,88.39,97.72,104.45,"education_score",90.5
"40037","county",2019,100.96,99.48,104.42,97.14,"education_score",97.82
"40039","county",2019,93.21,81.52,134.59,99.77,"education_score",99.03
"40041","county",2019,106.65,83.05,88.42,101.45,"education_score",88.96
"40043","county",2019,86.16,76.65,117.43,113.8,"education_score",98.42
"40045","county",2019,100.19,83.81,99.71,122.25,"education_score",91
"40047","county",2019,97.86,93.39,111.3,97.93,"education_score",98.94
"40049","county",2019,105.55,88.27,111.25,100.71,"education_score",88.89
"40051","county",2019,93.38,100.68,114.78,98.35,"education_score",103.08
"40053","county",2019,91,91.46,110.59,112.71,"education_score",100.64
"40055","county",2019,110.57,76.82,85.81,109.23,"education_score",81.6
"40057","county",2019,125.34,83.16,117.12,107.44,"education_score",70.04
"40059","county",2019,113.17,70.34,119.78,109.27,"education_score",76.02
"40061","county",2019,105.81,80.83,111.05,103.86,"education_score",86.24
"40063","county",2019,112.73,79.04,103.65,108.99,"education_score",80.32
"40065","county",2019,108.51,85.86,116.89,100.5,"education_score",87.76
"40067","county",2019,114.86,95.09,107.15,112.61,"education_score",85.55
"40069","county",2019,99.8,73.14,116.32,111.72,"education_score",88.32
"40071","county",2019,102.17,84.37,110.89,99.15,"education_score",92.15
"40073","county",2019,101.2,90.67,122.87,103.41,"education_score",92.88
"40075","county",2019,105.56,68.82,98.98,106.03,"education_score",82.59
"40077","county",2019,102.26,72.76,101.01,106.79,"education_score",86.59
"40079","county",2019,112.21,79.49,109.91,98.94,"education_score",81.78
"40081","county",2019,101.67,88.19,107.65,100.47,"education_score",92.54
"40083","county",2019,89.83,107.1,110.18,99.9,"education_score",109.95
"40085","county",2019,121.29,66.28,116.58,107.25,"education_score",69.36
"40087","county",2019,92.26,101.81,123.79,99.48,"education_score",104.41
"40089","county",2019,115.84,82.59,112.59,98.79,"education_score",79.56
"40091","county",2019,105.68,72.8,83.93,105.49,"education_score",84.41
"40093","county",2019,98.64,113.29,110.52,104.2,"education_score",101.82
"40095","county",2019,127.56,81.57,105.11,101.16,"education_score",71.4
"40097","county",2019,106.02,88.99,104.49,99.8,"education_score",89.23
"40099","county",2019,109.97,81.37,103.19,102,"education_score",84.37
"40101","county",2019,103.93,88.37,112.64,97.37,"education_score",91.87
"40103","county",2019,88.69,99.91,107.79,104.35,"education_score",105.8
"40105","county",2019,97.78,86.51,102.01,103.18,"education_score",94.38
"40107","county",2019,120.07,86.16,100.48,108.09,"education_score",79.11
"40109","county",2019,95.36,112.25,116.96,62.13,"education_score",113.79
"40111","county",2019,103.31,78.76,108.84,100.22,"education_score",88.84
"40113","county",2019,98.21,100.62,98.66,100.93,"education_score",100.66
"40115","county",2019,107.73,73.05,113.95,100.37,"education_score",83.21
"40117","county",2019,99.63,93.97,106.6,102.32,"education_score",95.6
"40119","county",2019,76.64,85.44,139.48,98.67,"education_score",118.72
"40121","county",2019,102.19,85.59,100.04,100.36,"education_score",92.64
"40123","county",2019,87.94,90.06,117.31,99.26,"education_score",105.56
"40125","county",2019,97.37,88.88,115.59,96.31,"education_score",97.87
"40127","county",2019,113.89,76.34,101.05,108.34,"education_score",79.9
"40129","county",2019,97.25,74.86,121.54,113.42,"education_score",89.27
"40131","county",2019,86.49,103.84,107.95,96.45,"education_score",111.19
"40133","county",2019,111.17,73.95,118.97,102.39,"education_score",80.48
"40135","county",2019,118.14,76.87,105.02,99.73,"education_score",76.94
"40137","county",2019,101.24,88.24,102.6,99.19,"education_score",93.61
"40139","county",2019,147.03,84.71,134.55,102.22,"education_score",59.8
"40141","county",2019,128.19,86,105.18,113.24,"education_score",72.51
"40143","county",2019,91,111.66,114.3,67.56,"education_score",115.95
"40145","county",2019,90.25,107.2,111.85,98.61,"education_score",108.56
"40147","county",2019,89.44,110.42,108.06,99.55,"education_score",110.72
"40149","county",2019,96,90.63,106.46,104.13,"education_score",95.85
"40151","county",2019,86.85,86.2,102.05,103.28,"education_score",107
"40153","county",2019,98.78,106.14,111.73,101.29,"education_score",100.15
"40001","county",2019,119.62,76.74,125.74,103.49,"education_score",73.45
"40003","county",2019,103.25,112.06,79.26,107.14,"education_score",100.3
"40005","county",2019,109.56,66.93,99.76,106.36,"education_score",78.33
"40007","county",2019,115.45,86.42,123.62,114.35,"education_score",80.25
"40009","county",2019,104.59,89.74,114.78,101.2,"education_score",91.66
"40011","county",2019,110.77,74.62,83.76,110.23,"education_score",81.33
"40013","county",2019,101.03,87.16,114.44,99.62,"education_score",94.67
"40015","county",2019,108.49,84.51,116.48,100.69,"education_score",85.17
"40017","county",2019,86.77,112.26,125.34,92.76,"education_score",113.55
"40019","county",2019,100.03,94.95,119.19,98.57,"education_score",97.18
"40021","county",2019,96.59,81.81,117.52,100.73,"education_score",97.33
"40023","county",2019,114.16,83.82,106.41,102.23,"education_score",81.01
"40025","county",2019,120.4,94.93,109.77,116.39,"education_score",80.95
"40027","county",2019,79.33,108.27,119.35,87.85,"education_score",122.48
"40029","county",2019,111.56,75.54,106.64,106.14,"education_score",80.67
"40031","county",2019,90.57,92,111,93.9,"education_score",105.55
"40033","county",2019,105.17,83.67,112.08,111.03,"education_score",86.63
"40035","county",2019,104.43,88.39,97.72,104.45,"education_score",90.5
"40037","county",2019,100.96,99.48,104.42,97.14,"education_score",97.82
"40039","county",2019,93.21,81.52,134.59,99.77,"education_score",99.03
"40041","county",2019,106.65,83.05,88.42,101.45,"education_score",88.96
"40043","county",2019,86.16,76.65,117.43,113.8,"education_score",98.42
"40045","county",2019,100.19,83.81,99.71,122.25,"education_score",91
"40047","county",2019,97.86,93.39,111.3,97.93,"education_score",98.94
"40049","county",2019,105.55,88.27,111.25,100.71,"education_score",88.89
"40051","county",2019,93.38,100.68,114.78,98.35,"education_score",103.08
"40053","county",2019,91,91.46,110.59,112.71,"education_score",100.64
"40055","county",2019,110.57,76.82,85.81,109.23,"education_score",81.6
"40057","county",2019,125.34,83.16,117.12,107.44,"education_score",70.04
"40059","county",2019,113.17,70.34,119.78,109.27,"education_score",76.02
"40061","county",2019,105.81,80.83,111.05,103.86,"education_score",86.24
"40063","county",2019,112.73,79.04,103.65,108.99,"education_score",80.32
"40065","county",2019,108.51,85.86,116.89,100.5,"education_score",87.76
"40067","county",2019,114.86,95.09,107.15,112.61,"education_score",85.55
"40069","county",2019,99.8,73.14,116.32,111.72,"education_score",88.32
"40071","county",2019,102.17,84.37,110.89,99.15,"education_score",92.15
"40073","county",2019,101.2,90.67,122.87,103.41,"education_score",92.88
"40075","county",2019,105.56,68.82,98.98,106.03,"education_score",82.59
"40077","county",2019,102.26,72.76,101.01,106.79,"education_score",86.59
"40079","county",2019,112.21,79.49,109.91,98.94,"education_score",81.78
"40081","county",2019,101.67,88.19,107.65,100.47,"education_score",92.54
"40083","county",2019,89.83,107.1,110.18,99.9,"education_score",109.95
"40085","county",2019,121.29,66.28,116.58,107.25,"education_score",69.36
"40087","county",2019,92.26,101.81,123.79,99.48,"education_score",104.41
"40089","county",2019,115.84,82.59,112.59,98.79,"education_score",79.56
"40091","county",2019,105.68,72.8,83.93,105.49,"education_score",84.41
"40093","county",2019,98.64,113.29,110.52,104.2,"education_score",101.82
"40095","county",2019,127.56,81.57,105.11,101.16,"education_score",71.4
"40097","county",2019,106.02,88.99,104.49,99.8,"education_score",89.23
"40099","county",2019,109.97,81.37,103.19,102,"education_score",84.37
"40101","county",2019,103.93,88.37,112.64,97.37,"education_score",91.87
"40103","county",2019,88.69,99.91,107.79,104.35,"education_score",105.8
"40105","county",2019,97.78,86.51,102.01,103.18,"education_score",94.38
"40107","county",2019,120.07,86.16,100.48,108.09,"education_score",79.11
"40109","county",2019,95.36,112.25,116.96,62.13,"education_score",113.79
"40111","county",2019,103.31,78.76,108.84,100.22,"education_score",88.84
"40113","county",2019,98.21,100.62,98.66,100.93,"education_score",100.66
"40115","county",2019,107.73,73.05,113.95,100.37,"education_score",83.21
"40117","county",2019,99.63,93.97,106.6,102.32,"education_score",95.6
"40119","county",2019,76.64,85.44,139.48,98.67,"education_score",118.72
"40121","county",2019,102.19,85.59,100.04,100.36,"education_score",92.64
"40123","county",2019,87.94,90.06,117.31,99.26,"education_score",105.56
"40125","county",2019,97.37,88.88,115.59,96.31,"education_score",97.87
"40127","county",2019,113.89,76.34,101.05,108.34,"education_score",79.9
"40129","county",2019,97.25,74.86,121.54,113.42,"education_score",89.27
"40131","county",2019,86.49,103.84,107.95,96.45,"education_score",111.19
"40133","county",2019,111.17,73.95,118.97,102.39,"education_score",80.48
"40135","county",2019,118.14,76.87,105.02,99.73,"education_score",76.94
"40137","county",2019,101.24,88.24,102.6,99.19,"education_score",93.61
"40139","county",2019,147.03,84.71,134.55,102.22,"education_score",59.8
"40141","county",2019,128.19,86,105.18,113.24,"education_score",72.51
"40143","county",2019,91,111.66,114.3,67.56,"education_score",115.95
"40145","county",2019,90.25,107.2,111.85,98.61,"education_score",108.56
"40147","county",2019,89.44,110.42,108.06,99.55,"education_score",110.72
"40149","county",2019,96,90.63,106.46,104.13,"education_score",95.85
"40151","county",2019,86.85,86.2,102.05,103.28,"education_score",107
"40153","county",2019,98.78,106.14,111.73,101.29,"education_score",100.15
"40001","county",2019,119.62,76.74,125.74,103.49,"education_rnk",8.5358
"40003","county",2019,103.25,112.06,79.26,107.14,"education_rnk",49.5844
"40005","county",2019,109.56,66.93,99.76,106.36,"education_rnk",12.6598
"40007","county",2019,115.45,86.42,123.62,114.35,"education_rnk",14.4821
"40009","county",2019,104.59,89.74,114.78,101.2,"education_rnk",31.8734
"40011","county",2019,110.77,74.62,83.76,110.23,"education_rnk",15.9207
"40013","county",2019,101.03,87.16,114.44,99.62,"education_rnk",37.4361
"40015","county",2019,108.49,84.51,116.48,100.69,"education_rnk",20.7161
"40017","county",2019,86.77,112.26,125.34,92.76,"education_rnk",77.5256
"40019","county",2019,100.03,94.95,119.19,98.57,"education_rnk",42.1036
"40021","county",2019,96.59,81.81,117.52,100.73,"education_rnk",42.4872
"40023","county",2019,114.16,83.82,106.41,102.23,"education_rnk",15.5051
"40025","county",2019,120.4,94.93,109.77,116.39,"education_rnk",15.3772
"40027","county",2019,79.33,108.27,119.35,87.85,"education_rnk",88.1714
"40029","county",2019,111.56,75.54,106.64,106.14,"education_rnk",14.9297
"40031","county",2019,90.57,92,111,93.9,"education_rnk",61.7008
"40033","county",2019,105.17,83.67,112.08,111.03,"education_rnk",23.1777
"40035","county",2019,104.43,88.39,97.72,104.45,"education_rnk",29.9872
"40037","county",2019,100.96,99.48,104.42,97.14,"education_rnk",43.6701
"40039","county",2019,93.21,81.52,134.59,99.77,"education_rnk",46.7072
"40041","county",2019,106.65,83.05,88.42,101.45,"education_rnk",27.078
"40043","county",2019,86.16,76.65,117.43,113.8,"education_rnk",45.0128
"40045","county",2019,100.19,83.81,99.71,122.25,"education_rnk",30.8184
"40047","county",2019,97.86,93.39,111.3,97.93,"education_rnk",46.3235
"40049","county",2019,105.55,88.27,111.25,100.71,"education_rnk",26.8862
"40051","county",2019,93.38,100.68,114.78,98.35,"education_rnk",55.7545
"40053","county",2019,91,91.46,110.59,112.71,"education_rnk",50.3836
"40055","county",2019,110.57,76.82,85.81,109.23,"education_rnk",16.1765
"40057","county",2019,125.34,83.16,117.12,107.44,"education_rnk",6.202
"40059","county",2019,113.17,70.34,119.78,109.27,"education_rnk",10.7737
"40061","county",2019,105.81,80.83,111.05,103.86,"education_rnk",22.5064
"40063","county",2019,112.73,79.04,103.65,108.99,"education_rnk",14.546
"40065","county",2019,108.51,85.86,116.89,100.5,"education_rnk",25.032
"40067","county",2019,114.86,95.09,107.15,112.61,"education_rnk",21.2596
"40069","county",2019,99.8,73.14,116.32,111.72,"education_rnk",26.023
"40071","county",2019,102.17,84.37,110.89,99.15,"education_rnk",33.1522
"40073","county",2019,101.2,90.67,122.87,103.41,"education_rnk",34.4309
"40075","county",2019,105.56,68.82,98.98,106.03,"education_rnk",17.2634
"40077","county",2019,102.26,72.76,101.01,106.79,"education_rnk",23.0499
"40079","county",2019,112.21,79.49,109.91,98.94,"education_rnk",16.5601
"40081","county",2019,101.67,88.19,107.65,100.47,"education_rnk",33.7916
"40083","county",2019,89.83,107.1,110.18,99.9,"education_rnk",71.3875
"40085","county",2019,121.29,66.28,116.58,107.25,"education_rnk",5.6586
"40087","county",2019,92.26,101.81,123.79,99.48,"education_rnk",59.2711
"40089","county",2019,115.84,82.59,112.59,98.79,"education_rnk",13.8107
"40091","county",2019,105.68,72.8,83.93,105.49,"education_rnk",19.5972
"40093","county",2019,98.64,113.29,110.52,104.2,"education_rnk",53.0371
"40095","county",2019,127.56,81.57,105.11,101.16,"education_rnk",7.1931
